D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/word2vec/cbow.py
------------------------------------------------------------
                       GPU Mode (cupy)
------------------------------------------------------------

| epoch 1 |  iter 5501 / 9295 | time 105[s] | loss 2.32
| epoch 1 |  iter 5521 / 9295 | time 105[s] | loss 2.37
| epoch 1 |  iter 5541 / 9295 | time 105[s] | loss 2.36
| epoch 1 |  iter 5561 / 9295 | time 106[s] | loss 2.33
| epoch 1 |  iter 5581 / 9295 | time 106[s] | loss 2.37
| epoch 1 |  iter 5601 / 9295 | time 107[s] | loss 2.36
| epoch 1 |  iter 5621 / 9295 | time 107[s] | loss 2.35
| epoch 1 |  iter 5641 / 9295 | time 107[s] | loss 2.38
| epoch 1 |  iter 5661 / 9295 | time 108[s] | loss 2.36
| epoch 1 |  iter 5681 / 9295 | time 108[s] | loss 2.36
| epoch 1 |  iter 5701 / 9295 | time 109[s] | loss 2.33
| epoch 1 |  iter 5721 / 9295 | time 109[s] | loss 2.34
| epoch 1 |  iter 5741 / 9295 | time 109[s] | loss 2.35
| epoch 1 |  iter 5761 / 9295 | time 110[s] | loss 2.36
| epoch 1 |  iter 5781 / 9295 | time 110[s] | loss 2.31
| epoch 1 |  iter 5801 / 9295 | time 111[s] | loss 2.34
| epoch 1 |  iter 5821 / 9295 | time 111[s] | loss 2.35
| epoch 1 |  iter 5841 / 9295 | time 112[s] | loss 2.33
| epoch 1 |  iter 5861 / 9295 | time 112[s] | loss 2.34
| epoch 1 |  iter 5881 / 9295 | time 112[s] | loss 2.33
| epoch 1 |  iter 5901 / 9295 | time 113[s] | loss 2.34
| epoch 1 |  iter 5921 / 9295 | time 113[s] | loss 2.33
| epoch 1 |  iter 5941 / 9295 | time 114[s] | loss 2.31
| epoch 1 |  iter 5961 / 9295 | time 114[s] | loss 2.34
| epoch 1 |  iter 5981 / 9295 | time 115[s] | loss 2.31
| epoch 1 |  iter 6001 / 9295 | time 115[s] | loss 2.31
| epoch 1 |  iter 6021 / 9295 | time 115[s] | loss 2.35
| epoch 1 |  iter 6041 / 9295 | time 116[s] | loss 2.33
| epoch 1 |  iter 6061 / 9295 | time 116[s] | loss 2.32
| epoch 1 |  iter 6081 / 9295 | time 117[s] | loss 2.32
| epoch 1 |  iter 6101 / 9295 | time 117[s] | loss 2.35
| epoch 1 |  iter 6121 / 9295 | time 117[s] | loss 2.33
| epoch 1 |  iter 6141 / 9295 | time 118[s] | loss 2.32
| epoch 1 |  iter 6161 / 9295 | time 118[s] | loss 2.32
| epoch 1 |  iter 6181 / 9295 | time 119[s] | loss 2.32
| epoch 1 |  iter 6201 / 9295 | time 119[s] | loss 2.33
| epoch 1 |  iter 6221 / 9295 | time 120[s] | loss 2.32
