D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
| epoch 4 |  iter 361 / 1327 | time 1221[s] | perplexity 552.63
| epoch 4 |  iter 381 / 1327 | time 1228[s] | perplexity 477.16
| epoch 4 |  iter 401 / 1327 | time 1235[s] | perplexity 489.47
| epoch 4 |  iter 421 / 1327 | time 1242[s] | perplexity 473.41
| epoch 4 |  iter 441 / 1327 | time 1248[s] | perplexity 471.53
| epoch 4 |  iter 461 / 1327 | time 1255[s] | perplexity 469.64
| epoch 4 |  iter 481 / 1327 | time 1261[s] | perplexity 474.28
| epoch 4 |  iter 501 / 1327 | time 1268[s] | perplexity 470.05
| epoch 4 |  iter 521 / 1327 | time 1275[s] | perplexity 486.71
| epoch 4 |  iter 541 / 1327 | time 1283[s] | perplexity 514.78
| epoch 4 |  iter 561 / 1327 | time 1290[s] | perplexity 488.16
| epoch 4 |  iter 581 / 1327 | time 1297[s] | perplexity 432.08
| epoch 4 |  iter 601 / 1327 | time 1304[s] | perplexity 555.05
| epoch 4 |  iter 621 / 1327 | time 1311[s] | perplexity 527.60
| epoch 4 |  iter 641 / 1327 | time 1318[s] | perplexity 483.82
| epoch 4 |  iter 661 / 1327 | time 1325[s] | perplexity 459.24
| epoch 4 |  iter 681 / 1327 | time 1332[s] | perplexity 411.40
| epoch 4 |  iter 701 / 1327 | time 1339[s] | perplexity 462.56
| epoch 4 |  iter 721 / 1327 | time 1346[s] | perplexity 475.43
| epoch 4 |  iter 741 / 1327 | time 1353[s] | perplexity 425.20
| epoch 4 |  iter 761 / 1327 | time 1359[s] | perplexity 434.09
| epoch 4 |  iter 781 / 1327 | time 1366[s] | perplexity 422.85
| epoch 4 |  iter 801 / 1327 | time 1373[s] | perplexity 444.05
| epoch 4 |  iter 821 / 1327 | time 1379[s] | perplexity 434.63
| epoch 4 |  iter 841 / 1327 | time 1385[s] | perplexity 444.91
| epoch 4 |  iter 861 / 1327 | time 1392[s] | perplexity 477.91
| epoch 4 |  iter 881 / 1327 | time 1398[s] | perplexity 446.47
| epoch 4 |  iter 901 / 1327 | time 1404[s] | perplexity 461.34
| epoch 4 |  iter 921 / 1327 | time 1411[s] | perplexity 463.64
| epoch 4 |  iter 941 / 1327 | time 1418[s] | perplexity 469.09
| epoch 4 |  iter 961 / 1327 | time 1424[s] | perplexity 486.68
| epoch 4 |  iter 981 / 1327 | time 1431[s] | perplexity 469.78
| epoch 4 |  iter 1001 / 1327 | time 1438[s] | perplexity 441.84
| epoch 4 |  iter 1021 / 1327 | time 1444[s] | perplexity 485.99
| epoch 4 |  iter 1041 / 1327 | time 1451[s] | perplexity 452.33
| epoch 4 |  iter 1061 / 1327 | time 1458[s] | perplexity 449.53
